name,wiki_uri,s,wikidata,wiki_name
Carla Risseeuw,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q76741418')],https://hdl.handle.net/20.500.11840/pi63652,http://www.wikidata.org/entity/Q76741418,"[rdflib.term.Literal('Carla Risseeuw', lang='en'), rdflib.term.Literal('Carla Risseeuw', lang='nl')]"
Mike Roberts Color Production,[],https://hdl.handle.net/20.500.11840/pi63660,http://www.wikidata.org/entity/Q84499222,"[rdflib.term.Literal('মাইক রবার্টস', lang='bn'), rdflib.term.Literal('Mike Roberts', lang='de'), rdflib.term.Literal('Mike Roberts', lang='en'), rdflib.term.Literal('Mike Roberts', lang='es'), rdflib.term.Literal('Mike Roberts', lang='fr'), rdflib.term.Literal('Mike Roberts', lang='it'), rdflib.term.Literal('Mike Roberts', lang='nl'), rdflib.term.Literal('M. Roberts', lang='sq')]"
Rocky,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q60991220'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q65231722'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819689')]",https://hdl.handle.net/20.500.11840/pi63662,http://www.wikidata.org/entity/Q86819689,"[rdflib.term.Literal('Rocky', lang='en'), rdflib.term.Literal('Rocky', lang='nl')]"
J.F. RoÃ«ll,[],https://hdl.handle.net/20.500.11840/pi63663,http://www.wikidata.org/entity/Q86739478,"[rdflib.term.Literal('J.F. Roëll', lang='en'), rdflib.term.Literal('J.F. Roëll', lang='nl'), rdflib.term.Literal('J.F. Roell', lang='sq')]"
Roesing Warmoldt,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819691')],https://hdl.handle.net/20.500.11840/pi63665,http://www.wikidata.org/entity/Q86819691,"[rdflib.term.Literal('Roesing Warmoldt', lang='en'), rdflib.term.Literal('Roesing Warmoldt', lang='nl')]"
Rolphe,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819696')],https://hdl.handle.net/20.500.11840/pi63666,http://www.wikidata.org/entity/Q86819696,"[rdflib.term.Literal('Rolphe', lang='en'), rdflib.term.Literal('Rolphe', lang='nl'), rdflib.term.Literal('Rolphe', lang='sq')]"
"J., ea Roorda",[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739526')],https://hdl.handle.net/20.500.11840/pi63669,http://www.wikidata.org/entity/Q86739526,"[rdflib.term.Literal('J., ea Roorda', lang='en'), rdflib.term.Literal('J., ea Roorda', lang='nl'), rdflib.term.Literal('J., ea Roorda', lang='sq')]"
Roose,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819697')],https://hdl.handle.net/20.500.11840/pi63670,http://www.wikidata.org/entity/Q86819697,"[rdflib.term.Literal('Roose', lang='en'), rdflib.term.Literal('Roose', lang='nl'), rdflib.term.Literal('Roose', lang='sq')]"
Rosauer,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819704')],https://hdl.handle.net/20.500.11840/pi63672,http://www.wikidata.org/entity/Q86819704,"[rdflib.term.Literal('Rosauer', lang='en'), rdflib.term.Literal('Rosauer', lang='nl')]"
Wien Rosemond,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739530')],https://hdl.handle.net/20.500.11840/pi63673,http://www.wikidata.org/entity/Q86739530,"[rdflib.term.Literal('Wien Rosemond', lang='en'), rdflib.term.Literal('Wien Rosemond', lang='nl'), rdflib.term.Literal('Wien Rosemond', lang='sq')]"
