,const_range,g_stmt_len,const_len,wiki_stmt_len,wiki_len
279,ccrdfconst_5681-5700.ttl,298,13,149,5
280,ccrdfconst_5721-5740.ttl,223,12,0,0
281,ccrdfconst_5741-5760.ttl,267,11,90,3
282,ccrdfconst_5761-5780.ttl,288,15,110,2
283,ccrdfconst_5781-5800.ttl,326,18,86,1
284,ccrdfconst_5801-5820.ttl,341,18,107,2
285,ccrdfconst_5821-5840.ttl,255,17,90,3
286,ccrdfconst_5841-5860.ttl,293,16,66,1
287,ccrdfconst_5861-5880.ttl,279,14,58,1
288,ccrdfconst_5881-5900.ttl,347,15,154,3
289,ccrdfconst_5901-5920.ttl,289,19,123,4
290,ccrdfconst_5921-5940.ttl,269,14,116,3
291,ccrdfconst_5941-5960.ttl,275,19,60,1
292,ccrdfconst_5961-5980.ttl,297,17,85,1
293,ccrdfconst_5981-6000.ttl,232,15,130,9
294,ccrdfconst_6001-6020.ttl,308,15,142,6
295,ccrdfconst_6021-6040.ttl,159,5,38,1
296,ccrdfconst_6041-6060.ttl,271,14,63,2
297,ccrdfconst_6061-6080.ttl,265,11,108,3
298,ccrdfconst_6081-6100.ttl,152,3,28,2
299,ccrdfconst_6121-6140.ttl,303,17,99,2
300,ccrdfconst_6141-6160.ttl,321,18,115,4
301,ccrdfconst_6161-6180.ttl,314,18,40,2
302,ccrdfconst_6181-6200.ttl,340,17,156,5
303,ccrdfconst_6201-6220.ttl,168,5,0,0
304,ccrdfconst_6221-6240.ttl,122,1,0,0
305,ccrdfconst_6241-6260.ttl,148,3,0,0
306,ccrdfconst_6261-6280.ttl,153,3,20,1
307,ccrdfconst_6281-6300.ttl,166,2,0,0
308,ccrdfconst_6301-6320.ttl,130,1,0,0
309,ccrdfconst_6321-6340.ttl,169,1,43,1
310,ccrdfconst_6341-6360.ttl,174,2,0,0
311,ccrdfconst_6361-6380.ttl,327,14,146,4
312,ccrdfconst_6381-6400.ttl,315,17,71,3
313,ccrdfconst_6401-6420.ttl,136,1,0,0
314,ccrdfconst_6421-6440.ttl,353,15,116,2
315,ccrdfconst_6441-6460.ttl,300,16,99,3
316,ccrdfconst_6461-6480.ttl,311,19,97,3
317,ccrdfconst_6481-6500.ttl,357,20,254,12
318,ccrdfconst_6501-6520.ttl,339,20,143,5
319,ccrdfconst_6521-6540.ttl,326,17,150,6
320,ccrdfconst_6541-6560.ttl,345,19,182,7
321,ccrdfconst_6561-6580.ttl,350,18,142,4
322,ccrdfconst_6581-6600.ttl,297,19,88,2
323,ccrdfconst_6601-6620.ttl,284,14,149,5
324,ccrdfconst_6621-6640.ttl,303,18,86,1
325,ccrdfconst_6641-6660.ttl,405,18,152,3
326,ccrdfconst_6661-6680.ttl,277,14,94,3
327,ccrdfconst_6681-6700.ttl,242,18,0,0
328,ccrdfconst_6701-6720.ttl,353,19,142,4
329,ccrdfconst_6721-6740.ttl,192,12,0,0
330,ccrdfconst_6741-6760.ttl,293,13,129,3
331,ccrdfconst_6761-6780.ttl,309,18,100,2
332,ccrdfconst_6781-6800.ttl,339,17,76,1
333,ccrdfconst_6801-6820.ttl,316,16,68,1
334,ccrdfconst_6821-6840.ttl,315,18,136,5
335,ccrdfconst_6841-6860.ttl,308,16,0,0
336,ccrdfconst_6861-6880.ttl,319,14,170,5
337,ccrdfconst_6881-6900.ttl,164,7,0,0
338,ccrdfconst_6901-6920.ttl,165,1,0,0
339,ccrdfconst_6921-6940.ttl,196,7,0,0
340,ccrdfconst_6941-6960.ttl,296,16,110,3
341,ccrdfconst_6961-6980.ttl,230,12,35,1
342,ccrdfconst_6981-7000.ttl,258,11,68,2
343,ccrdfconst_7001-7020.ttl,201,6,36,2
344,ccrdfconst_7021-7040.ttl,172,8,49,2
345,ccrdfconst_7041-7060.ttl,236,17,55,2
346,ccrdfconst_7061-7080.ttl,363,18,138,3
347,ccrdfconst_7081-7100.ttl,333,16,118,3
348,ccrdfconst_7101-7120.ttl,264,16,64,1
349,ccrdfconst_7121-7140.ttl,318,19,117,4
350,ccrdfconst_7141-7160.ttl,308,18,132,4
351,ccrdfconst_7161-7180.ttl,275,17,76,2
352,ccrdfconst_7201-7220.ttl,318,18,0,0
353,ccrdfconst_7221-7240.ttl,326,12,85,2
354,ccrdfconst_7241-7260.ttl,199,10,52,1
355,ccrdfconst_7261-7280.ttl,319,20,158,6
356,ccrdfconst_7281-7300.ttl,282,15,55,1
357,ccrdfconst_7301-7320.ttl,275,19,73,2
358,ccrdfconst_7321-7340.ttl,288,17,0,0
359,ccrdfconst_7341-7360.ttl,401,17,210,5
360,ccrdfconst_7361-7380.ttl,303,16,83,1
361,ccrdfconst_7381-7400.ttl,289,17,94,3
362,ccrdfconst_7401-7420.ttl,273,19,87,2
363,ccrdfconst_7421-7440.ttl,386,17,177,5
364,ccrdfconst_7441-7460.ttl,308,17,150,6
365,ccrdfconst_7461-7480.ttl,293,20,0,0
366,ccrdfconst_7481-7500.ttl,290,16,0,0
367,ccrdfconst_7501-7520.ttl,269,16,83,2
368,ccrdfconst_7521-7540.ttl,288,17,67,2
369,ccrdfconst_7541-7560.ttl,283,19,69,2
370,ccrdfconst_7561-7580.ttl,318,17,40,2
