 "nmvw_actor1" , "nmvw_actor2" , "nmvw_object" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286177" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286177" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286178" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286178" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286179" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286180" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286180" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286181" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286181" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286182" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286182" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286183" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286183" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286184" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286185" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286185" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286186" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286186" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286187" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286187" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286188" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286189" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286190" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286190" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286191" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286191" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286192" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286194" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286195" ,
