 "n" , "nmvw_actor" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1374" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi1375" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi1376" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1377" ,
 "12" , "https://hdl.handle.net/20.500.11840/pi1378" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1379" ,
 "38" , "https://hdl.handle.net/20.500.11840/pi138" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1382" ,
 "9" , "https://hdl.handle.net/20.500.11840/pi1384" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1385" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1387" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1391" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1395" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1396" ,
 "86" , "https://hdl.handle.net/20.500.11840/pi1397" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1398" ,
 "350" , "https://hdl.handle.net/20.500.11840/pi1399" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi14" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi140" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1401" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1402" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1405" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1406" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1407" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1408" ,
 "17" , "https://hdl.handle.net/20.500.11840/pi1409" ,
 "129" , "https://hdl.handle.net/20.500.11840/pi141" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1410" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1411" ,
 "22" , "https://hdl.handle.net/20.500.11840/pi1412" ,
 "71" , "https://hdl.handle.net/20.500.11840/pi1413" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1416" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1417" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1418" ,
 "35" , "https://hdl.handle.net/20.500.11840/pi142" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1420" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1421" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1422" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi1424" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1425" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1426" ,
